588,행복,1,1,1,100,160
588,행복,1,1,1,100,1112
588,행복,1,1,1,100,1112
588,행복,1,1,3,100,1112
588,행복,1,1,1,100,1112
588,행복,1,1,1,100,1112
588,행복,1,1,1,100,1112
588,행복,1,1,1,100,1112
588,행복,1,1,1,100,1112
588,행복,1,1,1,100,1112
588,행복,1,1,1,100,1112
588,행복,1,1,3,100,1112
588,행복,1,1,1,100,1112
588,행복,1,1,1,100,1112
588,행복,1,1,1,100,1112
588,행복,1,1,1,100,1112
588,행복,1,1,9,100,1112
588,행복,1,1,1,100,1112
588,행복,1,1,3,100,1112
588,행복,1,1,1,100,1112
589,화살표 그리기,8,2,1,100,1112
589,화살표 그리기,8,2,2,100,1112
589,화살표 그리기,8,2,4,100,1112
589,화살표 그리기,8,2,1,100,1112
589,화살표 그리기,8,2,2,100,1116
589,화살표 그리기,8,2,1,100,1116
589,화살표 그리기,8,2,5,100,1116
589,화살표 그리기,8,2,2,100,1116
589,화살표 그리기,8,2,1,100,1116
589,화살표 그리기,8,2,1,100,1116
589,화살표 그리기,8,2,1,100,1116
589,화살표 그리기,8,2,1,100,1116
589,화살표 그리기,8,2,1,100,1116
589,화살표 그리기,8,2,1,100,1116
589,화살표 그리기,8,2,1,100,1116
589,화살표 그리기,8,2,16,100,1116
589,화살표 그리기,8,2,1,100,1116
589,화살표 그리기,8,2,2,100,1116
589,화살표 그리기,8,2,1,100,1116
589,화살표 그리기,8,2,3,100,1116
590,두 로봇,5,3,2,100,11700
590,두 로봇,5,3,19,100,14280
590,두 로봇,5,3,6,100,14404
590,두 로봇,5,3,18,100,9088
590,두 로봇,5,3,3,100,9120
590,두 로봇,5,3,2,100,9208
590,두 로봇,5,3,1,100,9512
590,두 로봇,5,3,1,100,9776
590,두 로봇,5,3,2,100,10660
590,두 로봇,5,3,1,100,12192
590,두 로봇,5,3,3,100,12192
590,두 로봇,5,3,9,100,12488
590,두 로봇,5,3,19,100,42596
590,두 로봇,5,3,1,100,5800
590,두 로봇,5,3,1,100,8020
590,두 로봇,5,3,2,100,8920
590,두 로봇,5,3,1,100,8992
590,두 로봇,5,3,1,100,9096
590,두 로봇,5,3,1,100,9176
590,두 로봇,5,3,1,100,9176
591,물탱크,4,4,6,100,39992
591,물탱크,4,4,1,100,45560
591,물탱크,4,4,1,100,32856
591,물탱크,4,4,1,100,32824
591,물탱크,4,4,1,100,24912
591,물탱크,4,4,1,100,32140
591,물탱크,4,4,1,100,32952
591,물탱크,4,4,1,100,32948
